Thinhorn Sheep,Artiodactyla,Bovidae,Ovis dalli,blue,skullthinhorn.jpg,4,
Horse,Perissodactyla,Equidae,n/a,n/a,skullhorse.jpg,n/a,
Moose,Artiodactyla,Cervidae,Alces americanus,yellow,skullmoose.jpg,9,
Caribou,Artiodactyla,Cervidae,Rangifer tarandus,bluered,skullcaribou.jpg,6,
Bighorn Sheep,Artiodactyla,Bovidae,Ovis canadensis,blue,skullbighorn.jpg,2,
White-tailed Deer,Artiodactyla,Cervidae,Odocoileus virginianus,yellow,skullwhitetaileddeer.jpg,7,
Mountain Goat,Artiodactyla,Bovidae,Oreamnos americanus,yellow,skullmountaingoat.jpg,1,
Mule Deer,Artiodactyla,Cervidae,Odocoileus hemionus,yellow,skullmuledeer.jpg,8,
Blue Whale,Cetacea,Rorqual,Mysteceti,red,bluewhale.jpg,n/a,
Fin Whale,Cetacea,Rorqual,Mysteceti,red,finwhale.jpg,n/a,
Humpback Whale,Cetacea,Rorqual,Mysteceti,blue,humpbackwhale.jpg,n/a,
Minke Whale,Cetacea,Rorqual,Mysteceti,yellow,minkewhale.jpg,n/a,
Sei Whale,Cetacea,Rorqual,Mysteceti,red,seiwhale.jpg,n/a,
Grey Whale,Cetacea,Grey Whale,Mysteceti,blue,greywhale.jpg,n/a,
North Pacific Right Whale,Cetacea,Right Whale,Mysteceti,red,rightwhale.jpg,n/a, 
n/a,Cetacea,Delphinid,Odontoceti,n/a,falsekillerwhale.jpg,n/a,
Killer Whale,Cetacea,Delphinid,Odontoceti,bluered,orca.jpg,n/a,
n/a,Cetacea,Delphinid,Odontoceti,n/a,rightwhaledolphin.jpg,n/a,
Pacific White-sided Dolphin,Cetacea,Delphinid,Odontoceti,yellow,whitesideddolphin.jpg,n/a,
n/a,Cetacea,Delphinid,Odontoceti,n/a,rissosdolphin.jpg,n/a,
n/a,Cetacea,Delphinid,Odontoceti,n/a,shortfinnedpilotwhale.jpg,n/a,
n/a,Cetacea,Delphinid,Odontoceti,n/a,stripeddolphin.jpg,n/a,
Dall's Porpoise,Cetacea,Porpoise,Odontoceti,yellow,dallsporpoise.jpg,n/a,
Harbour Porpoise,Cetacea,Porpoise,Odontoceti,blue,harbourporpoise.jpg,n/a,
Bering Sea Beaked Whale,Cetacea,Beaked Whale,Odontoceti,blue,beringseawhale.jpg,n/a,
n/a,Cetacea,Beaked Whale,Odontoceti,n/a,goosebeakedwhale.jpg,n/a,https://bit.ly/2YYo2PQ
n/a,Cetacea,Beaked Whale,Odontoceti,n/a,bottlenosedwhale.jpg,n/a,
n/a,Cetacea,Sperm Whale,Odontoceti,n/a,dwarfspermwhale.jpg,n/a,  
Sperm Whale,Cetacea,Sperm Whale,Odontoceti,blue,spermwhale.jpg,n/a,https://www.flickr.com/photos/barathieu/7277953560/
Moose,n/a,n/a,n/a,n/a,damagemoose.jpg,n/a,
Hare,n/a,n/a,n/a,n/a,damagehare.jpg,n/a,
Vole,n/a,n/a,n/a,n/a,damagevole.jpg,n/a,
Mountain Beaver,n/a,n/a,n/a,n/a,damagemountainbeaver.jpg,n/a,
Squirrel,n/a,n/a,n/a,n/a,damagesquirrel.jpg,n/a,
Porcupine,n/a,n/a,n/a,n/a,damageporcupine.jpg,n/a,
Pocket Gopher,n/a,n/a,n/a,n/a,damagepocketgopher.jpg,n/a,
Bear,n/a,n/a,n/a,n/a,damagebear.jpg,n/a,
